Country Name,Country Code,Indicator Name,Indicator Code,Year,Country_Code,Region,IncomeGroup,ACCSTO
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ABW,Latin America & Caribbean,High income,91.660400390625
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,AFG,South Asia,Low income,1.61359095573425
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,AGO,Sub-Saharan Africa,Lower middle income,24.2127437591553
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ALB,Europe & Central Asia,Upper middle income,100
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,AND,Europe & Central Asia,High income,100
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ARE,Middle East & North Africa,High income,100
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ARG,Latin America & Caribbean,Upper middle income,95.7832870483398
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ARM,Europe & Central Asia,Upper middle income,98.9000015258789
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ASM,East Asia & Pacific,Upper middle income,
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,ATG,Latin America & Caribbean,High income,97.6892623901367
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,AUS,East Asia & Pacific,High income,100
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,AUT,Europe & Central Asia,High income,100
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,AZE,Europe & Central Asia,Upper middle income,98.9082260131836
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BDI,Sub-Saharan Africa,Low income,2.46323680877686
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BEL,Europe & Central Asia,High income,100
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BEN,Sub-Saharan Africa,Lower middle income,21.5310840606689
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BFA,Sub-Saharan Africa,Low income,9.07501983642578
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BGD,South Asia,Lower middle income,32
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BGR,Europe & Central Asia,Upper middle income,100
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BHR,Middle East & North Africa,High income,100
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BHS,Latin America & Caribbean,High income,100
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BIH,Europe & Central Asia,Upper middle income,100
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BLR,Europe & Central Asia,Upper middle income,100
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BLZ,Latin America & Caribbean,Upper middle income,79
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BMU,North America,High income,100
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BOL,Latin America & Caribbean,Lower middle income,69.9630432128906
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000.0,BRA,Latin America & Caribbean,Upper middle income,94.391716003418
