Country Name,Country Code,Indicator Name,Indicator Code,Year,Country_Code,Region,IncomeGroup,ACCSUR
Aruba,ABW,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ABW,Latin America & Caribbean,High income,100
Afghanistan,AFG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,AFG,South Asia,Low income,72.1334686279297
Angola,AGO,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,AGO,Sub-Saharan Africa,Lower middle income,44.8176040649414
Albania,ALB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ALB,Europe & Central Asia,Upper middle income,100
Andorra,AND,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,AND,Europe & Central Asia,High income,100
United Arab Emirates,ARE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ARE,Middle East & North Africa,High income,100
Argentina,ARG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ARG,Latin America & Caribbean,Upper middle income,96.475212097168
Armenia,ARM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ARM,Europe & Central Asia,Upper middle income,99.0999984741211
American Samoa,ASM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ASM,East Asia & Pacific,Upper middle income,
Antigua and Barbuda,ATG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ATG,Latin America & Caribbean,High income,100
Australia,AUS,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,AUS,East Asia & Pacific,High income,100
Austria,AUT,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,AUT,Europe & Central Asia,High income,100
Azerbaijan,AZE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,AZE,Europe & Central Asia,Upper middle income,99.7049255371094
Burundi,BDI,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BDI,Sub-Saharan Africa,Low income,50.6311683654785
Belgium,BEL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BEL,Europe & Central Asia,High income,100
Benin,BEN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BEN,Sub-Saharan Africa,Lower middle income,47.4688720703125
Burkina Faso,BFA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BFA,Sub-Saharan Africa,Low income,40.3424263000488
Bangladesh,BGD,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BGD,South Asia,Lower middle income,81.1999969482422
Bulgaria,BGR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BGR,Europe & Central Asia,Upper middle income,100
Bahrain,BHR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BHR,Middle East & North Africa,High income,100
"Bahamas, The",BHS,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BHS,Latin America & Caribbean,High income,100
Bosnia and Herzegovina,BIH,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BIH,Europe & Central Asia,Upper middle income,100
Belarus,BLR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BLR,Europe & Central Asia,Upper middle income,100
Belize,BLZ,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BLZ,Latin America & Caribbean,Upper middle income,95
Bermuda,BMU,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BMU,North America,High income,100
Bolivia,BOL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BOL,Latin America & Caribbean,Lower middle income,95.8121109008789
Brazil,BRA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BRA,Latin America & Caribbean,Upper middle income,99.0229034423828
Barbados,BRB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BRB,Latin America & Caribbean,High income,100
Brunei Darussalam,BRN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BRN,East Asia & Pacific,High income,100
Bhutan,BTN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BTN,South Asia,Lower middle income,96.7399978637695
Botswana,BWA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,BWA,Sub-Saharan Africa,Upper middle income,39.0983467102051
Central African Republic,CAF,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CAF,Sub-Saharan Africa,Low income,15.6000003814697
Canada,CAN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CAN,North America,High income,100
Switzerland,CHE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CHE,Europe & Central Asia,High income,100
Channel Islands,CHI,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CHI,Europe & Central Asia,High income,100
Chile,CHL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CHL,Latin America & Caribbean,High income,99.782112121582
China,CHN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CHN,East Asia & Pacific,Upper middle income,100
Cote d'Ivoire,CIV,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CIV,Sub-Saharan Africa,Lower middle income,81.5455093383789
Cameroon,CMR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CMR,Sub-Saharan Africa,Lower middle income,79
"Congo, Dem. Rep.",COD,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,COD,Sub-Saharan Africa,Low income,20
"Congo, Rep.",COG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,COG,Sub-Saharan Africa,Lower middle income,45.9907112121582
Colombia,COL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,COL,Latin America & Caribbean,Upper middle income,99.4000015258789
Comoros,COM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,COM,Sub-Saharan Africa,Lower middle income,64.320915222168
Cabo Verde,CPV,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CPV,Sub-Saharan Africa,Lower middle income,81.8611450195313
Costa Rica,CRI,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CRI,Latin America & Caribbean,Upper middle income,99.8000030517578
Cuba,CUB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CUB,Latin America & Caribbean,Upper middle income,100
Curacao,CUW,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CUW,Latin America & Caribbean,High income,100
Cayman Islands,CYM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CYM,Latin America & Caribbean,High income,100
Cyprus,CYP,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CYP,Europe & Central Asia,High income,100
Czech Republic,CZE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,CZE,Europe & Central Asia,High income,100
Germany,DEU,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,DEU,Europe & Central Asia,High income,100
Djibouti,DJI,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,DJI,Middle East & North Africa,Lower middle income,56.4727325439453
Dominica,DMA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,DMA,Latin America & Caribbean,Upper middle income,
Denmark,DNK,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,DNK,Europe & Central Asia,High income,100
Dominican Republic,DOM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,DOM,Latin America & Caribbean,Upper middle income,96.5728607177734
Algeria,DZA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,DZA,Middle East & North Africa,Lower middle income,99.4446487426758
Ecuador,ECU,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ECU,Latin America & Caribbean,Upper middle income,99.1832656860352
"Egypt, Arab Rep.",EGY,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,EGY,Middle East & North Africa,Lower middle income,99.5
Eritrea,ERI,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ERI,Sub-Saharan Africa,Low income,79.2266311645508
Spain,ESP,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ESP,Europe & Central Asia,High income,100
Estonia,EST,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,EST,Europe & Central Asia,High income,100
Ethiopia,ETH,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ETH,Sub-Saharan Africa,Low income,76.1999969482422
Finland,FIN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,FIN,Europe & Central Asia,High income,100
Fiji,FJI,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,FJI,East Asia & Pacific,Upper middle income,91.4416732788086
France,FRA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,FRA,Europe & Central Asia,High income,100
Faroe Islands,FRO,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,FRO,Europe & Central Asia,High income,100
"Micronesia, Fed. Sts.",FSM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,FSM,East Asia & Pacific,Lower middle income,70
Gabon,GAB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GAB,Sub-Saharan Africa,Upper middle income,90.1999969482422
United Kingdom,GBR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GBR,Europe & Central Asia,High income,100
Georgia,GEO,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GEO,Europe & Central Asia,Upper middle income,99.9177703857422
Ghana,GHA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GHA,Sub-Saharan Africa,Lower middle income,80.5
Gibraltar,GIB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GIB,Europe & Central Asia,High income,100
Guinea,GIN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GIN,Sub-Saharan Africa,Low income,55.8693161010742
"Gambia, The",GMB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GMB,Sub-Saharan Africa,Low income,51.1599998474121
Guinea-Bissau,GNB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GNB,Sub-Saharan Africa,Low income,23.9507637023926
Equatorial Guinea,GNQ,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GNQ,Sub-Saharan Africa,Upper middle income,94.593635559082
Greece,GRC,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GRC,Europe & Central Asia,High income,100
Grenada,GRD,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GRD,Latin America & Caribbean,Upper middle income,
Greenland,GRL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GRL,Europe & Central Asia,High income,100
Guatemala,GTM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GTM,Latin America & Caribbean,Upper middle income,95.397834777832
Guam,GUM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GUM,East Asia & Pacific,High income,100
Guyana,GUY,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,GUY,Latin America & Caribbean,Upper middle income,87.1897506713867
"Hong Kong SAR, China",HKG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,HKG,East Asia & Pacific,High income,100
Honduras,HND,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,HND,Latin America & Caribbean,Lower middle income,94.4429550170898
Croatia,HRV,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,HRV,Europe & Central Asia,High income,100
Haiti,HTI,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,HTI,Latin America & Caribbean,Lower middle income,81.9000015258789
Hungary,HUN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,HUN,Europe & Central Asia,High income,100
Indonesia,IDN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,IDN,East Asia & Pacific,Lower middle income,95.5032043457031
Isle of Man,IMN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,IMN,Europe & Central Asia,High income,100
India,IND,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,IND,South Asia,Lower middle income,88.7510299682617
Ireland,IRL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,IRL,Europe & Central Asia,High income,100
"Iran, Islamic Rep.",IRN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,IRN,Middle East & North Africa,Lower middle income,100
Iraq,IRQ,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,IRQ,Middle East & North Africa,Upper middle income,99.3751220703125
Iceland,ISL,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ISL,Europe & Central Asia,High income,100
Israel,ISR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ISR,Middle East & North Africa,High income,100
Italy,ITA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,ITA,Europe & Central Asia,High income,100
Jamaica,JAM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,JAM,Latin America & Caribbean,Upper middle income,90.9855270385742
Jordan,JOR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,JOR,Middle East & North Africa,Upper middle income,99.6559982299805
Japan,JPN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,JPN,East Asia & Pacific,High income,100
Kazakhstan,KAZ,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,KAZ,Europe & Central Asia,Upper middle income,99.9101791381836
Kenya,KEN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,KEN,Sub-Saharan Africa,Lower middle income,49.8442344665527
Kyrgyz Republic,KGZ,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2000.0,KGZ,Europe & Central Asia,Lower middle income,99.6551895141602
