Country Name,Country Code,Indicator Name,Indicator Code,Year,Country_Code,Region,IncomeGroup,ELECNUC
Aruba,ABW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ABW,Latin America & Caribbean,High income,
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,AFG,South Asia,Low income,
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,AGO,Sub-Saharan Africa,Lower middle income,0
Albania,ALB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ALB,Europe & Central Asia,Upper middle income,0
Andorra,AND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,AND,Europe & Central Asia,High income,
United Arab Emirates,ARE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ARE,Middle East & North Africa,High income,0
Argentina,ARG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ARG,Latin America & Caribbean,Upper middle income,6.94747497469351
Armenia,ARM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ARM,Europe & Central Asia,Upper middle income,33.6522322927157
American Samoa,ASM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ASM,East Asia & Pacific,Upper middle income,
Antigua and Barbuda,ATG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,ATG,Latin America & Caribbean,High income,
Australia,AUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,AUS,East Asia & Pacific,High income,0
Austria,AUT,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,AUT,Europe & Central Asia,High income,0
Azerbaijan,AZE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,AZE,Europe & Central Asia,Upper middle income,0
Burundi,BDI,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BDI,Sub-Saharan Africa,Low income,
Belgium,BEL,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BEL,Europe & Central Asia,High income,58.179599627898
Benin,BEN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BEN,Sub-Saharan Africa,Lower middle income,0
Burkina Faso,BFA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BFA,Sub-Saharan Africa,Low income,
Bangladesh,BGD,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BGD,South Asia,Lower middle income,0
Bulgaria,BGR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BGR,Europe & Central Asia,Upper middle income,44.7227279437091
Bahrain,BHR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000.0,BHR,Middle East & North Africa,High income,0
