Country Name,Country Code,Indicator Name,Indicator Code,Year,Country_Code,Region,IncomeGroup,ELECOIL
Aruba,ABW,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ABW,Latin America & Caribbean,High income,
Afghanistan,AFG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,AFG,South Asia,Low income,
Angola,AGO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,AGO,Sub-Saharan Africa,Lower middle income,36.8858131487889
Albania,ALB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ALB,Europe & Central Asia,Upper middle income,3.8509836751779
Andorra,AND,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,AND,Europe & Central Asia,High income,
United Arab Emirates,ARE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ARE,Middle East & North Africa,High income,3.08932505507711
Argentina,ARG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ARG,Latin America & Caribbean,Upper middle income,3.24260488134068
Armenia,ARM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ARM,Europe & Central Asia,Upper middle income,0
American Samoa,ASM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ASM,East Asia & Pacific,Upper middle income,
Antigua and Barbuda,ATG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,ATG,Latin America & Caribbean,High income,
Australia,AUS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,AUS,East Asia & Pacific,High income,0.850074333854306
Austria,AUT,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,AUT,Europe & Central Asia,High income,2.84263620269232
Azerbaijan,AZE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,AZE,Europe & Central Asia,Upper middle income,71.9503716776298
Burundi,BDI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BDI,Sub-Saharan Africa,Low income,
Belgium,BEL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BEL,Europe & Central Asia,High income,0.962874367245358
Benin,BEN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BEN,Sub-Saharan Africa,Lower middle income,97.6190476190476
Burkina Faso,BFA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BFA,Sub-Saharan Africa,Low income,
Bangladesh,BGD,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BGD,South Asia,Lower middle income,6.46756705345254
Bulgaria,BGR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BGR,Europe & Central Asia,Upper middle income,1.62623628401319
Bahrain,BHR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BHR,Middle East & North Africa,High income,0
"Bahamas, The",BHS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BHS,Latin America & Caribbean,High income,
Bosnia and Herzegovina,BIH,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2000.0,BIH,Europe & Central Asia,Upper middle income,0.460255058011315
