Country Name,Country Code,Indicator Name,Indicator Code,Year,Country_Code,Region,IncomeGroup,ELECLOSS
Aruba,ABW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ABW,Latin America & Caribbean,High income,
Afghanistan,AFG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,AFG,South Asia,Low income,
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,AGO,Sub-Saharan Africa,Lower middle income,14.6020761245675
Albania,ALB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ALB,Europe & Central Asia,Upper middle income,27.2498953537045
Andorra,AND,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,AND,Europe & Central Asia,High income,
United Arab Emirates,ARE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ARE,Middle East & North Africa,High income,3.38223512918085
Argentina,ARG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ARG,Latin America & Caribbean,Upper middle income,14.8329771679226
Armenia,ARM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ARM,Europe & Central Asia,Upper middle income,25.3776435045317
American Samoa,ASM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ASM,East Asia & Pacific,Upper middle income,
Antigua and Barbuda,ATG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,ATG,Latin America & Caribbean,High income,
Australia,AUS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,AUS,East Asia & Pacific,High income,7.13795600960622
Austria,AUT,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,AUT,Europe & Central Asia,High income,5.33954638073287
Azerbaijan,AZE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,AZE,Europe & Central Asia,Upper middle income,14.8136263971335
Burundi,BDI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BDI,Sub-Saharan Africa,Low income,
Belgium,BEL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BEL,Europe & Central Asia,High income,4.57757964553659
Benin,BEN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BEN,Sub-Saharan Africa,Lower middle income,70.2380952380952
Burkina Faso,BFA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BFA,Sub-Saharan Africa,Low income,
Bangladesh,BGD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BGD,South Asia,Lower middle income,15.3255976158772
Bulgaria,BGR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BGR,Europe & Central Asia,Upper middle income,15.4750774984008
Bahrain,BHR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BHR,Middle East & North Africa,High income,4.01904899343387
"Bahamas, The",BHS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BHS,Latin America & Caribbean,High income,
Bosnia and Herzegovina,BIH,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BIH,Europe & Central Asia,Upper middle income,16.7705436762873
Belarus,BLR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BLR,Europe & Central Asia,Upper middle income,13.0646335389449
Belize,BLZ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BLZ,Latin America & Caribbean,Upper middle income,
Bermuda,BMU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BMU,North America,High income,
Bolivia,BOL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BOL,Latin America & Caribbean,Lower middle income,10.180412371134
Brazil,BRA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2000.0,BRA,Latin America & Caribbean,Upper middle income,17.6575621220372
